City,country,citizens,restaurants_number_TA,citizens_per_restaurant,tourists_per_year,ttl_ppl_per_restaurants,lon_c,lat_c
London,England,8961989,19972,449,20423000,1471,51.5074,0.1278
Paris,France,2175601,17177,127,17950000,1172,48.8566,2.3522
Madrid,Spain,3266126,11419,286,5440100,762,40.4168,3.7038
Rome,Italy,2870500,10177,282,10065400,1271,41.9028,12.4964
Barcelona,Spain,1664182,8622,193,6714500,972,41.38879,2.15899
Milan,Italy,1378689,6668,207,6481300,1179,45.4642,9.19
Berlin,Germany,3644826,6372,572,5959400,1507,52.52,13.405
Prague,Czech,1301132,4631,281,8948600,2213,50.0755,14.4378
Lisbon,Portugal,505526,4486,113,3539400,902,38.7223,9.1393
Vienna,Austria,1897491,3738,508,6410300,2223,48.2082,16.3738
Amsterdam,Netherlands,872757,3649,239,8354200,2529,52.3676,4.9041
Brussels,Belgium,179277,3004,60,3942000,1372,50.8503,4.3517
Hamburg,Germany,1841179,2885,638,1450000,1141,53.5511,9.9937
Munich,Germany,1471508,2848,517,4066600,1945,48.1351,11.582
Budapest,Hungary,1752286,2750,637,3822800,2027,47.4979,19.0402
Warsaw,Poland,1790658,2739,654,2850000,1694,52.2297,21.0122
Stockholm,Sweden,961609,2729,352,2604600,1307,59.3293,18.0686
Lyon,France,506615,2666,190,6000000,2441,45.764,4.8357
Athens,Greece,664046,2300,289,5728400,2779,37.9838,23.7275
Dublin,Ireland,1173179,2082,563,5213400,3068,53.3498,6.2603
Copenhagen,Denmark,615993,1968,313,3069700,1873,55.6761,12.5683
Oporto,Portugal,237591,1829,130,2341300,1410,41.1579,8.6291
Edinburgh,Scotland,488100,1766,276,1660000,1216,55.9533,3.1883
Zurich,Switzerland,428737,1660,258,2240000,1608,47.3769,8.5417
Krakow,Poland,779115,1494,521,2732000,2350,50.0647,19.945
Helsinki,Finland,655281,1444,454,4175012,3345,60.1699,24.9384
Geneva,Switzerland,200548,1413,142,1150000,956,46.2044,6.1432
Oslo,Norway,673469,1165,578,619000,1109,59.9139,10.7522
Bratislava,Slovakia,437725,1041,420,1400056,1765,48.1486,17.1077
Luxembourg,Luxembourg,115227,659,175,1018000,1720,49.8153,6.1296
Ljubljana,Slovenia,284355,539,528,1548000,3400,46.0569,14.5058